station_id,station_code,station_name,old_rid_group,new_rid_group,ospar_region,mean_q_1000m3/day,Cd_tonnes,Cd_Est,Cu_tonnes,Cu_Est,Hg_kg,Hg_Est,NO3-N_tonnes,NO3-N_Est,PO4-P_tonnes,PO4-P_Est,Pb_tonnes,Pb_Est,SPM_tonnes,SPM_Est,TOTN_tonnes,TOTN_Est,TOTP_tonnes,TOTP_Est,Zn_tonnes,Zn_Est,Ag_tonnes,Ag_Est,As_tonnes,As_Est,Cr_tonnes,Cr_Est,NH4-N_tonnes,NH4-N_Est,Ni_tonnes,Ni_Est,SiO2_tonnes,SiO2_Est,TOC_tonnes,TOC_Est,year
29837,ROGEVIK,Vikedalselva,rid_36,rid_20,NORTH SEA,871.9877883245606,0.007390514228012995,0,0.1565411133242786,0,0.0,0,101.79117399851917,0,0.3055510627579803,0,0.09396301812951706,0,439.81888142063326,0,120.05925725645902,0,0.9784251093068791,0,1.282109018481138,0,1.591377713692323e-05,1,0.06851171758879768,0,0.06779551640490329,0,2.15187214892023,0,0.14527207306682438,0,332.5979421616954,1,305.27561180969667,0,2007
29837,ROGEVIK,Vikedalselva,rid_36,rid_20,NORTH SEA,841.2650886871808,0.0061344647210515415,0,0.22380306492011756,0,0.3054753811798717,0,52.978267564900705,0,0.2618258307267491,0,0.08273558102780476,0,332.3260684782338,0,89.46435769954795,0,2.3831027787016907,0,1.1459967007310656,0,1.5395151122975405e-05,1,0.053100390072184846,0,0.028792528416943363,0,6.268139667780597,0,0.11512287484807127,0,321.75865847018594,1,349.3207911962015,0,2008
29837,ROGEVIK,Vikedalselva,rid_36,rid_20,NORTH SEA,704.4804105060086,0.004687183132574266,0,0.26221748806145834,0,0.19022152988487287,0,51.08128965500828,0,0.3988763852256725,0,0.05873581167851185,0,248.02712982345443,0,74.64954515564347,0,1.298850279427921,0,0.9714699606243248,0,1.2856767491734657e-05,1,0.05961206338923169,0,0.024574725323170322,0,2.06393301492313,0,0.11144217470938568,0,268.70644057725434,1,386.71494855788075,0,2009
29837,ROGEVIK,Vikedalselva,rid_36,rid_20,NORTH SEA,452.4068521390624,0.0035690996518467164,0,0.24987734444934862,0,0.0,0,42.35724829213386,0,2.882410351452649,0,0.09363837459162927,0,2727.463640751678,0,84.3212796027861,0,5.603334117783153,0,0.7717409911975516,0,8.256425051537887e-06,1,0.07214782116931896,0,0.03589592485127793,0,5.216865278998938,0,0.08846068143051895,0,172.55928357714185,1,373.30239115558896,0,2010
29837,ROGEVIK,Vikedalselva,rid_36,rid_20,NORTH SEA,827.5766668068136,0.0059754580183363154,0,0.15454694521967902,0,1.0973990425698348,0,65.09567575543652,0,0.5132149609270037,0,0.04617126338492758,0,523.3218238021354,0,99.65553457710774,0,1.3664675712596324,0,0.6768290857558775,0,1.5103274169224346e-05,1,0.07581024874669093,0,0.014424785102327272,0,2.5020384521394416,0,0.11552850162344616,0,315.65843013678875,1,371.6687683512867,0,2011
29837,ROGEVIK,Vikedalselva,rid_36,rid_20,NORTH SEA,844.8655227560533,0.005356822256014113,0,0.23691548357431202,0,0.0,0,58.998894647734005,0,0.5429129164979528,0,0.05013043028586491,0,241.47961587187473,0,99.6613510163223,0,1.144097442794783,0,1.0986061628145918,0,1.546103906643578e-05,1,0.06852511457665345,0,0.012262238302786584,0,3.0928294366263875,0,0.12420949867527491,0,323.1357164885077,1,443.6607219541834,0,2012
29837,ROGEVIK,Vikedalselva,rid_36,rid_20,NORTH SEA,705.5125214803095,0.004914263355948722,0,0.16920590739714167,0,0.20438730615669976,0,69.37264007659292,0,0.45139022194048956,0,0.044780622820782816,0,267.120462271593,0,109.2410316691605,0,1.2087545748100943,0,0.8615091359588437,0,0.0,0,0.04755197381882401,0,0.039802067841205734,0,8.595822039768045,0,0.0973988998387731,0,269.1001135056271,1,426.6541923124431,0,2013
29837,ROGEVIK,Vikedalselva,rid_36,rid_20,NORTH SEA,745.5053013433164,0.007527858298994933,0,0.18002831743972578,0,0.12020000768041868,0,73.82113699903867,0,1.9743398650706994,0,0.10465260964165657,0,1109.3548900664596,0,108.88430684136364,0,3.256456235616769,0,0.8470091665419592,0,0.0,0,0.09597888824746653,0,0.10874396142165653,0,3.4672219311151538,0,0.129624616395973,0,284.3543595648745,1,428.04599220683946,0,2014
29837,ROGEVIK,Vikedalselva,rid_36,rid_20,NORTH SEA,982.1977864718114,0.006338242551978613,0,0.17939415141434387,0,0.0,0,68.18656552763595,0,0.5168300271884768,0,0.06462233044767204,0,383.5893510355745,0,117.26589275518945,0,1.3476878220229422,0,0.9462517549205371,0,0.0,0,0.0843880153312834,0,0.020483852211605244,0,4.984143015908198,0,0.13905997553846491,0,374.6347907050106,1,397.1168511553837,0,2015
29837,ROGEVIK,Vikedalselva,rid_36,rid_20,NORTH SEA,717.4587878469403,0.004223669531307554,0,0.10924442959130815,0,0.13885631260703177,0,52.41060681736571,0,0.26438075695495633,0,0.047881088142515536,0,349.16838171403424,0,89.07407911445841,0,1.1097114776608408,0,0.584159578976659,0,0.0,0,0.04977477014843987,0,0.013100983824137812,0,5.12161900368814,0,0.09904507628455535,0,274.40646258781925,1,384.7068843085164,0,2016
