regine,parameter,source,proportion_pct
011.,tot-p,nat-diff,13.259067493160586
011.,tot-p,ren,1.9703816628856359
011.,tot-p,spr,14.853201676343753
011.,tot-p,urban,5.1768301038222635
012.,tot-n,agri,33.62369001476361
012.,tot-n,aqu,0.0
012.,tot-n,ind,0.30796888899380614
012.,tot-n,nat-diff,48.740781105897135
012.,tot-n,ren,12.816857352985318
012.,tot-n,spr,3.9287447111269733
012.,tot-n,urban,0.5820066567900566
012.,tot-p,agri,46.6066873795423
012.,tot-p,aqu,0.0
012.,tot-p,ind,3.1068663702155823
012.,tot-p,nat-diff,29.27599477916302
012.,tot-p,ren,4.578942897123493
012.,tot-p,spr,11.88197706048654
012.,tot-p,urban,4.539058581579418
013.,tot-n,agri,61.5490392049717
013.,tot-n,aqu,0.0
013.,tot-n,ind,8.33018057510955
013.,tot-n,nat-diff,20.361428708096792
013.,tot-n,ren,5.036664579667224
013.,tot-n,spr,3.0103864953928183
013.,tot-n,urban,1.7127540755841237
013.,tot-p,agri,54.13993325449478
013.,tot-p,aqu,0.0
013.,tot-p,ind,18.29618759176611
013.,tot-p,nat-diff,8.895228717998826
013.,tot-p,ren,1.4192153278210704
013.,tot-p,spr,10.307287308276832
013.,tot-p,urban,6.916262498908951
014.,tot-n,agri,73.07530100777608
014.,tot-n,aqu,0.0
014.,tot-n,ind,0.0
014.,tot-n,nat-diff,19.212717832299166
014.,tot-n,ren,3.427873479634434
014.,tot-n,spr,3.5212124758507812
014.,tot-n,urban,0.7628952044395403
014.,tot-p,agri,58.273207400377395
014.,tot-p,aqu,0.0
014.,tot-p,ind,18.056506587966716
014.,tot-p,nat-diff,8.339120209316976
014.,tot-p,ren,1.6219045408765254
014.,tot-p,spr,11.069788470208795
014.,tot-p,urban,2.639472791253602
015.,tot-n,agri,42.36013015487582
015.,tot-n,aqu,0.0
015.,tot-n,ind,0.14587905082338573
015.,tot-n,nat-diff,46.373538630139905
015.,tot-n,ren,6.449784752988381
015.,tot-n,spr,3.8570145087453525
015.,tot-n,urban,0.8136508651858732
015.,tot-p,agri,47.93794185278776
015.,tot-p,aqu,0.0
015.,tot-p,ind,0.7367985911086954
015.,tot-p,nat-diff,23.561169800344395
015.,tot-p,ren,2.4666181876731086
015.,tot-p,spr,20.138838938339298
015.,tot-p,urban,5.158632629746751
016.,tot-n,agri,13.967152686949722
016.,tot-n,aqu,0.0
016.,tot-n,ind,20.557594639443668
016.,tot-n,nat-diff,56.13866147202716
016.,tot-n,ren,6.235354024142159
016.,tot-n,spr,2.3849326957501757
016.,tot-n,urban,0.716313742863914
016.,tot-p,agri,18.929096960467586
016.,tot-p,aqu,0.0
016.,tot-p,ind,22.1011710166814
016.,tot-p,nat-diff,31.943307719419096
016.,tot-p,ren,5.823677526867671
016.,tot-p,spr,12.604117707889241
016.,tot-p,urban,8.563425828703657
017.,tot-n,agri,7.22851030692299
017.,tot-n,aqu,0.0
017.,tot-n,ind,0.1467932749902916
017.,tot-n,nat-diff,80.71557874598851
017.,tot-n,ren,8.411812619297354
017.,tot-n,spr,3.023918907056251
017.,tot-n,urban,0.4726316329850474
017.,tot-p,agri,9.309316559668115
017.,tot-p,aqu,0.0
017.,tot-p,ind,5.173127025532245
017.,tot-p,nat-diff,44.72848714882798
017.,tot-p,ren,15.144940346981567
017.,tot-p,spr,19.71986237783536
017.,tot-p,urban,5.841789158663748
018.,tot-n,agri,9.454005055017813
018.,tot-n,aqu,0.03029720111570645
018.,tot-n,ind,0.0
018.,tot-n,nat-diff,78.91481938852549
018.,tot-n,ren,6.245926244605075
018.,tot-n,spr,5.178506615458557
018.,tot-n,urban,0.17715700480785573
018.,tot-p,agri,15.949133388180465
018.,tot-p,aqu,0.3536977491961415
018.,tot-p,ind,0.0
018.,tot-p,nat-diff,45.5305126354631
018.,tot-p,ren,8.522684715824948
018.,tot-p,spr,27.97935272075685
018.,tot-p,urban,1.7939932774661909
019.,tot-n,agri,6.13341281865317
019.,tot-n,aqu,0.0
019.,tot-n,ind,0.12373258695352714
019.,tot-n,nat-diff,71.66507066935412
019.,tot-n,ren,18.585011919312972
019.,tot-n,spr,2.8888031878931204
019.,tot-n,urban,0.6042697280322608
019.,tot-p,agri,11.260215910949018
019.,tot-p,aqu,0.0
019.,tot-p,ind,6.683842334008983
019.,tot-p,nat-diff,30.938212596092576
019.,tot-p,ren,21.26201821744666
019.,tot-p,spr,23.92343335017658
019.,tot-p,urban,5.9564452069400335
020.,tot-n,agri,3.446335053442911
020.,tot-n,aqu,4.68503451240291
020.,tot-n,ind,0.0
020.,tot-n,nat-diff,83.05040788999801
020.,tot-n,ren,7.08501771570972
020.,tot-n,spr,1.4802765328454142
020.,tot-n,urban,0.25292829560103136
020.,tot-p,agri,5.98153166910453
020.,tot-p,aqu,51.18825539398043
020.,tot-p,ind,0.0
020.,tot-p,nat-diff,30.39739418824961
020.,tot-p,ren,3.141505452305746
020.,tot-p,spr,7.131171509321861
020.,tot-p,urban,2.1613457907702402
021.,tot-n,agri,5.279952659157837
021.,tot-n,aqu,0.0
021.,tot-n,ind,0.5129093009695374
021.,tot-n,nat-diff,64.9929348591078
021.,tot-n,ren,27.584940395949836
021.,tot-n,spr,1.06125504521739
021.,tot-n,urban,0.5676735463172522
021.,tot-p,agri,7.973026767908846
021.,tot-p,aqu,0.0
021.,tot-p,ind,10.560215892334268
021.,tot-p,nat-diff,35.702465167884995
021.,tot-p,ren,32.881775986098994
021.,tot-p,spr,4.788172454824709
021.,tot-p,urban,8.091921881597518
022.,tot-n,agri,11.651392214601136
022.,tot-n,aqu,0.0
022.,tot-n,ind,0.0
022.,tot-n,nat-diff,78.49838823637766
022.,tot-n,ren,8.243630919618598
022.,tot-n,spr,1.4863096760471066
022.,tot-n,urban,0.11997676527772738
